03/03/2022 2:45:00 PM,Brooklyn,Lew Fiddler Park,Mute Swan,Invasive,Healthy,Birds,1
03/03/2022 3:30:00 PM,Manhattan,Central Park,Canada Goose,Native,N/A,Birds,0
03/05/2022 8:00:00 AM,Manhattan,Inwood Hill Park,Chicken,Domestic,Unhealthy,"Birds, Domestic",6
03/07/2022 9:00:00 AM,Manhattan,Sara D. Roosevelt Park,Cooper's Hawk,Native,DOA,Raptors,1
03/07/2022 9:35:00 AM,Staten Island,Willowbrook Park,Canada Goose,Native,Injured,Birds,1
03/07/2022 10:10:00 AM,Staten Island,Willowbrook Park,Chicken,Domestic,Healthy,"Birds, Domestic",1
03/07/2022 11:07:00 AM,Staten Island,Snug Harbor Cultural Center,Canada Goose,Native,Healthy,Birds,1
03/08/2022 10:25:00 AM,Manhattan,Gertrude Ederle Recreation Center,American Woodcock,Native,Injured,Birds,1
03/08/2022 2:30:00 PM,Manhattan,Central Park,Canada Goose,Native,Injured,Birds,1
03/08/2022 2:30:00 PM,Manhattan,Central Park,Canada Goose,Native,Injured,Birds,0
03/08/2022 2:30:00 PM,Manhattan,Central Park,Canada Goose,Native,Injured,Birds,1
03/10/2022 12:25:00 PM,Queens,Rockaway Beach and Boardwalk,Mute Swan,Invasive,Injured,Birds,1
03/11/2022 2:30:00 PM,Staten Island,Ocean Breeze Park,Canada Goose,Native,Injured,Birds,1
03/13/2022 1:00:00 PM,Manhattan,Central Park,Canada Goose,Native,N/A,Birds,0
03/13/2022 3:30:00 PM,Brooklyn,Marine Park,Canada Goose,Native,N/A,Birds,0
03/14/2022 2:10:00 PM,Queens,Queensbridge Park,Red-tailed Hawk,Native,Injured,Raptors,0
03/16/2022 9:15:00 AM,Manhattan,Central Park,Canada Goose,Native,Injured,Birds,0
03/16/2022 2:15:00 PM,Staten Island,Wolfe's Pond Park,Canada Goose,Native,Injured,Birds,1
03/17/2022 9:15:00 AM,Queens,Flushing Meadows Corona Park,Canada Goose,Native,DOA,Birds,1
03/17/2022 10:00:00 AM,Manhattan,Tompkins Square Park,Cooper's Hawk,Native,DOA,Raptors,1
03/17/2022 12:00:00 PM,Staten Island,Blue Heron Park,Wild Turkey,Native,Healthy,Birds,1
03/17/2022 12:00:00 PM,Queens,Brookville Park,Mute Swan,Invasive,Healthy,Birds,1
03/17/2022 2:30:00 PM,Brooklyn,Marine Park,Brant,Native,Injured,Birds,1
03/18/2022 2:30:00 PM,Manhattan,Morningside Park,American Robin,Native,Injured,Birds,1
03/18/2022 4:00:00 PM,Brooklyn,WNYC Transmitter Park,Rock Dove,Native,Injured,Birds,1
03/22/2022 11:30:00 AM,Staten Island,Willowbrook Park,Mallard Duck,Native,Injured,Birds,0
03/23/2022 2:15:00 PM,Brooklyn,Coney Island Beach &amp; Boardwalk,Herring Gull,Native,DOA,Birds,1
03/27/2022 10:30:00 AM,Bronx,Van Cortlandt Park,Mute Swan,Invasive,DOA,Birds,1
03/27/2022 11:55:00 AM,Manhattan,Riverside Park,Canada Goose,Native,Injured,Birds,0
03/28/2022 10:00:00 AM,Staten Island,Lemon Creek Park,Mute Swan,Invasive,N/A,Birds,0
03/28/2022 1:30:00 PM,Manhattan,Riverside Park,Canada Goose,Native,Injured,Birds,1
03/29/2022 3:30:00 PM,Brooklyn,Prospect Park,Mallard Duck,Native,Healthy,Birds,1
03/29/2022 7:02:00 PM,Queens,Al Oerter Recreation Center,Rock Dove,Native,Injured,Birds,1
03/30/2022 9:00:00 AM,Bronx,Van Cortlandt Park,Canada Goose,Native,Injured,Birds,1
03/30/2022 12:00:00 PM,Brooklyn,Prospect Park,Canada goose,Native,Unhealthy,Birds,1
04/01/2022 10:00:00 AM,Manhattan,Bryant Park,American Woodcock,Native,Injured,Birds,0
04/04/2022 11:00:00 AM,Brooklyn,Marine Park,Canada Goose,Native,DOA,Birds,1
04/06/2022 1:00:00 PM,Bronx,Ranaqua Park,Mourning Dove,Native,Injured,Birds,1
04/06/2022 2:22:00 PM,Queens,Flushing Meadows Corona Park,Common Raven,Native,Injured,Birds,1
04/08/2022 10:00:00 AM,Manhattan,Inwood Hill Park,Chicken,Domestic,Healthy,"Domestic, Birds",1
04/09/2022 10:30:00 AM,Brooklyn,Brooklyn Bridge Park,American Robin,Native,Injured,Birds,1
04/10/2022 3:45:00 PM,Bronx,Van Cortlandt Park,Yellow-bellied Sapsucker,Native,Injured,Birds,1
04/11/2022 9:35:00 AM,Bronx,Crotona Park,Mallard Duck,Native,Injured,Birds,1
04/12/2022 2:10:00 PM,Manhattan,Central Park,House Sparrow,Native,DOA,Birds,1
04/14/2022 10:30:00 AM,Manhattan,Central Park,Mallard Duck,Native,Injured,Birds,1
04/14/2022 2:30:00 PM,Brooklyn,Fort Greene Park,Mourning Dove,Native,Healthy,Birds,1
04/15/2022 8:30:00 AM,Staten Island,Brookfield Park,Rock Dove,Domestic,Injured,Birds,1
04/15/2022 4:30:00 PM,Bronx,Pelham Bay Park,Common Loon,Native,Healthy,Birds,1
04/16/2022 10:00:00 AM,Manhattan,Morningside Park,American Robin,Native,Injured,Birds,1
04/19/2022 4:00:00 PM,Bronx,Concrete Plant Park,Chicken,Domestic,DOA,"Birds, Domestic",2
04/20/2022 11:00:00 AM,Brooklyn,Prospect Park,Red-throated Loon,Native,Healthy,Birds,1
04/20/2022 1:00:00 PM,Manhattan,The Battery,Double-Crested Cormorant,Native,Injured,Birds,0
04/21/2022 11:30:00 AM,Manhattan,Carl Schurz Park,Rock Dove,Native,,Birds,1
04/22/2022 11:50:00 AM,Brooklyn,Fort Greene Park,American Robin,Native,Healthy,Birds,1
04/22/2022 1:40:00 PM,Queens,Brookville Park,Canada Goose,Native,Injured,Birds,1
04/22/2022 2:30:00 PM,Queens,Hunter's Point South Park,Double-crested Cormorant,Native,Injured,Birds,1
04/22/2022 4:00:00 PM,Staten Island,Wolfe's Pond Park,Gull (Unknown),Native,DOA,Birds,1
04/23/2022 9:33:00 AM,Queens,Alley Pond Park,Mute Swan,Invasive,Healthy,Birds,1
04/23/2022 1:30:00 PM,Brooklyn,Sheepshead Bay Piers,Mute Swan,Invasive,Healthy,Birds,1
04/25/2022 7:00:00 AM,Staten Island,Ocean Breeze Track & Field Athletic Complex,Virginia Rail,Native,DOA,Birds,1
04/25/2022 8:00:00 AM,Queens,Kissena Park,Great Horned Owl,Native,Healthy,Raptors,1
04/25/2022 8:10:00 AM,Bronx,Mill Pond Park,Canada Goose,Native,Unhealthy,Birds,1
04/26/2022 9:00:00 AM,Brooklyn,Brighton Beach,Turkey Vulture,Native,Injured,Raptors,1
04/26/2022 9:30:00 AM,Brooklyn,Bill Brown Playground,Chicken,Domestic,Healthy,"Birds, Domestic",1
04/26/2022 1:40:00 PM,Staten Island,Wolfe's Pond Park,Great Black-backed Gull,Native,DOA,Birds,1
04/27/2022 11:40:00 AM,Bronx,Henry Hudson Park,American Robin,Native,Injured,Birds,1
04/27/2022 5:30:00 PM,Staten Island,Blue Heron Park,Red-tailed Hawk,Native,Unhealthy,Raptors,1
04/28/2022 8:30:00 AM,Manhattan,Inwood Hill Park,Chicken,Domestic,Healthy,"Domestic, Birds",2
04/28/2022 10:00:00 AM,Queens,Flushing Meadows Corona Park,Mallard Duck,Native,DOA,Birds,1
04/28/2022 5:30:00 PM,Brooklyn,Marine Park,American Robin,Native,,Birds,1
05/01/2022 10:50:00 AM,Manhattan,Central Park,House Sparrow,Native,Unhealthy,Birds,1
05/01/2022 3:20:00 PM,Queens,Fort Totten Park,Mute Swan,Invasive,Injured,Birds,1
05/02/2022 11:30:00 AM,Brooklyn,Prospect Park,Herring Gull,Native,,Birds,1
05/04/2022 2:00:00 PM,Brooklyn,Fort Greene Park,Rose-breasted Grosbeak,Native,Injured,Birds,1
05/05/2022 12:00:00 PM,Queens,Alley Pond Park,Mute Swan,Invasive,Healthy,Birds,1
05/05/2022 12:30:00 PM,Brooklyn,Betsy Head Park,Rock Dove,Native,Healthy,Birds,2
05/05/2022 2:30:00 PM,Manhattan,Central Park,Canada Goose,Native,Injured,Birds,0
05/06/2022 12:00:00 AM,Bronx,Mill Pond Park,Canada Goose,Native,Unhealthy,Birds,1
05/06/2022 11:50:00 AM,Manhattan,Central Park,American Robin,Native,DOA,Birds,1
05/08/2022 3:15:00 PM,Queens,Astoria Park,Common Raven,Native,Injured,Birds,1
05/12/2022 12:20:00 PM,Queens,Captain Tilly Park,Mallard Duck,Native,Injured,Birds,1
05/12/2022 2:50:00 PM,Queens,Kissena Park,European Starling,Invasive,Healthy,Birds,1
05/12/2022 4:30:00 PM,Staten Island,Blue Heron Park,European Starling,Invasive,Healthy,Birds,1
05/12/2022 5:30:00 PM,Brooklyn,McCarren Park,American Robin,Native,Injured,Birds,1
05/13/2022 1:00:00 PM,Brooklyn,Marine Park,American Robin,Native,Injured,Birds,1
05/13/2022 1:30:00 PM,Brooklyn,Prospect Park,Red-Throated Loon,Native,Injured,Birds,1
05/13/2022 1:45:00 PM,Staten Island,Clove Lakes Park,European Starling,Invasive,Healthy,Birds,2
05/14/2022 11:20:00 AM,Queens,Fort Totten Park,Barn Swallow,Native,Healthy,Birds,1
05/14/2022 12:00:00 PM,Brooklyn,Prospect Park,House Sparrow,Invasive,Injured,Birds,1
05/14/2022 4:15:00 PM,Manhattan,Highbridge Park,European Starling,Invasive,Healthy,Birds,1
05/14/2022 9:45:00 PM,Brooklyn,Prospect Park,Canada Goose,Native,Unhealthy,Birds,1
05/15/2022 1:40:00 PM,Staten Island,Brookfield Park,Mallard Duck,Native,Healthy,Birds,11
05/16/2022 8:30:00 AM,Queens,Hoyt Playground,Rock Dove,Native,Unhealthy,Birds,1
05/18/2022 10:00:00 AM,Brooklyn,Marine Park,Loon (Unknown),Native,DOA,Birds,1
05/18/2022 4:16:00 PM,Manhattan,Central Park,House Sparrow,Native,Healthy,Birds,1
05/19/2022 10:15:00 AM,Staten Island,Clove Lakes Park,Great Egret,Native,Healthy,Birds,1
05/19/2022 1:40:00 PM,Bronx,Van Cortlandt Park,Northern Bobwhite,Native,Healthy,Birds,1
05/19/2022 2:30:00 PM,Bronx,Van Cortlandt Park,Mallard Duck,Native,Healthy,Birds,2
05/20/2022 12:30:00 PM,Bronx,Poe Park,Rock Dove,Native,Injured,Birds,1
05/20/2022 1:00:00 PM,Staten Island,Latourette Park,Parakeet (Unknown),Domestic,Healthy,Birds,0
05/20/2022 1:40:00 PM,Manhattan,Morningside Park,Domestic Duck,Domestic,Healthy,"Domestic, Birds",0
05/21/2022 9:00:00 AM,Manhattan,Central Park,Canada Goose,Native,Injured,Birds,1
05/21/2022 11:00:00 AM,Brooklyn,Shore Park and Parkway,Herring Gull,Native,Injured,Birds,1
05/22/2022 8:00:00 AM,Bronx,Pelham Bay Park,American Robin,Native,Healthy,Birds,1
05/23/2022 10:40:00 AM,Manhattan,Central Park,Bird (Unknown),N/A,Injured,Birds,0
05/23/2022 12:30:00 PM,Brooklyn,Maria Hernandez Park,Chicken,Domestic,Healthy,Birds,0
05/25/2022 10:30:00 AM,Staten Island,Freshkills Park,Herring Gull,Native,Injured,Birds,1
05/25/2022 12:50:00 PM,Queens,Al Oerter Recreation Center,Rock Dove,Native,Unhealthy,Birds,0
05/25/2022 4:21:00 PM,Queens,Alley Pond Park,Mute Swan,Invasive,DOA,Birds,0
05/25/2022 4:25:00 PM,Queens,"Phil ""Scooter"" Rizzuto Park",European Starling,Native,Healthy,Birds,1
05/26/2022 1:00:00 PM,Brooklyn,Marine Park,Gull (Unknown),Native,Injured,Birds,0
05/27/2022 10:00:00 AM,Bronx,Pelham Bay Park,Sun Conure,Exotic,Healthy,Birds,1
05/27/2022 10:20:00 AM,Staten Island,Clove Lakes Park,Eastern Screech Owl,Native,Healthy,Raptors,1
05/27/2022 12:00:00 PM,Manhattan,Central Park,Blue Jay,Native,Healthy,Birds,1
05/28/2022 12:06:00 PM,Brooklyn,Forth Greene Park,Mourning Dove,Native,Healthy,Birds,1
05/30/2022 10:30:00 AM,Queens,Little Bay Park,Canada Goose,Native,Injured,Birds,0
05/30/2022 11:15:00 AM,Queens,Rockaway Beach and Boardwalk,Killdeer,Native,Healthy,Birds,1
06/01/2022 10:00:00 AM,Manhattan,Riverside Park,Canada Goose,Native,Injured,Birds,1
06/01/2022 10:00:00 AM,Manhattan,Central Park,European Starling,Invasive,Healthy,Birds,1
06/01/2022 11:00:00 AM,Brooklyn,Marine Park,Laughing Gull,Native,Healthy,Birds,1
06/01/2022 5:30:00 PM,Queens,Kissena Park,Mute Swan,Invasive,Healthy,Birds,1
06/02/2022 11:30:00 AM,Manhattan,Randall's Island Park,Canada Goose,Native,Injured,Birds,1
06/03/2022 12:03:00 PM,Queens,Roy Wilkins Recreation Center,Canada Goose,Native,Healthy,Birds,1
06/03/2022 1:45:00 PM,Manhattan,Central Park,Canada Goose,Native,Unhealthy,Birds,1
06/04/2022 2:30:00 AM,Queens,Flushing Meadows Corona Park,Raptor (Unknown),Native,Injured,Raptors,0
06/04/2022 2:00:00 PM,Bronx,Pelham Bay Park,Mallard Duck,Native,Healthy,Birds,3
06/04/2022 3:00:00 PM,Brooklyn,Prospect Park,Mute Swan,Invasive,Injured,Birds,1
06/05/2022 10:37:00 AM,Bronx,Pelham Bay Park,European Starling,Native,Healthy,Birds,1
06/05/2022 11:35:00 AM,Queens,Flushing Meadows Corona Park,Red-tailed Hawk,Native,N/A,Raptors,0
06/05/2022 12:00:00 PM,Staten Island,Greenbelt Recreation Center,Rock Dove,Native,Healthy,Birds,0
06/05/2022 12:00:00 PM,Manhattan,Central Park,Canada Goose,Native,Healthy,Birds,0
06/05/2022 2:00:00 PM,Brooklyn,Prospect Park,Bird (Unknown),N/A,Injured,Birds,0
06/05/2022 2:45:00 PM,Bronx,Van Cortlandt Park,Red-tailed Hawk,Native,Unhealthy,Raptors,1
06/06/2022 12:30:00 PM,Bronx,Pelham Bay Park,American Kestrel,Native,Healthy,Raptors,1
06/06/2022 2:10:00 PM,Manhattan,Riverside Park,Red-tailed Hawk,Native,Healthy,Raptors,1
06/07/2022 9:35:00 AM,Manhattan,Inwood Hill Park,Chicken,Domestic,Injured,Birds,1
06/07/2022 12:40:00 PM,Queens,Fort Totten Park,American Robin,Native,Healthy,Birds,1
06/08/2022 8:30:00 AM,Manhattan,Central Park,Peregrine Falcon,Native,Injured,Raptors,1
06/08/2022 12:30:00 PM,Queens,Forest Park,American Robin,Native,Injured,Birds,1
06/08/2022 2:00:00 PM,Staten Island,Willowbrook Park,Canada Goose,Native,Healthy,Birds,1
06/08/2022 6:20:00 PM,Bronx,Pelham Bay Park,Herring Gull,Native,Unhealthy,Birds,1
06/09/2022 7:30:00 AM,Staten Island,Conference House Park,Herring Gull,Native,DOA,Birds,1
06/09/2022 9:40:00 AM,Queens,Rockaway Beach and Boardwalk,Greater Shearwater,Native,Unhealthy,Birds,1
06/09/2022 1:00:00 PM,Queens,Flushing Meadows Corona Park,Red-Tailed Hawk,Native,Healthy,Raptors,1
06/09/2022 2:30:00 PM,Manhattan,Fort Tryon Park,Lovebird,Exotic,Healthy,Birds,3
06/09/2022 5:30:00 PM,Brooklyn,Prospect Park,Mute Swan,Invasive,Injured,Birds,0
06/09/2022 5:30:00 PM,Manhattan,Arsenal North,Red-tailed Hawk,Native,Healthy,Raptors,1
06/09/2022 9:00:00 PM,Staten Island,Wolfe's Pond Park,Bird (Unknown),Native,Injured,Birds,0
06/10/2022 8:30:00 AM,Staten Island,Wolfe's Pond Park,Mute Swan,Invasive,Injured,Birds,1
06/10/2022 9:30:00 AM,Brooklyn,Kaiser Park,Brant,Native,Injured,Birds,1
06/10/2022 9:30:00 AM,Brooklyn,Kaiser Park,Brant,Native,Injured,Birds,1
06/10/2022 10:00:00 AM,Manhattan,Riverside Park,Peregrine Falcon,Native,Healthy,Raptors,1
06/10/2022 11:30:00 AM,Brooklyn,"2930 w fifth st, Coney Island",Peregrine Falcon,Native,Injured,Raptors,0
06/10/2022 12:00:00 PM,Staten Island,Blue Heron Park,American Robin,Native,Healthy,Birds,2
06/10/2022 2:00:00 PM,Staten Island,Wolfe's Pond Park,Killdeer,Native,Healthy,Birds,1
06/10/2022 2:00:00 PM,Manhattan,Central Park,Red-tailed Hawk,Native,Healthy,Raptors,1
06/11/2022 11:20:00 AM,Staten Island,Lyons Pool Recreation Center,Barn Swallow,Native,Healthy,Birds,2
06/11/2022 3:00:00 PM,Brooklyn,Prospect Park,American Robin,Native,Injured,Birds,1
06/12/2022 2:30:00 PM,Manhattan,Central Park,Canada Goose,Native,Injured,Birds,2
06/13/2022 12:45:00 PM,Brooklyn,Green Central Knoll,Chukar,Domestic,Unhealthy,"Birds, Domestic",1
06/13/2022 6:15:00 PM,Staten Island,Ingram Woods,Wild Turkey,Native,Injured,Birds,1
06/14/2022 12:00:00 PM,Manhattan,Central Park,Canada Goose,Native,Healthy,Birds,1
06/14/2022 6:30:00 PM,Manhattan,Central Park,House Sparrow,Invasive,Unhealthy,Birds,1
06/15/2022 7:30:00 AM,Brooklyn,Prospect Park,Wood Duck,Native,Healthy,Birds,2
06/15/2022 2:30:00 PM,Manhattan,Riverside Park,Red-tailed Hawk,Native,DOA,Raptors,1
06/15/2022 6:00:00 PM,Manhattan,Inwood Hill Park,Bird (Unknown),Native,Unhealthy,Birds,0
06/16/2022 9:30:00 AM,Manhattan,Inwood Hill Park,Baltimore Oriole,Native,DOA,Birds,1
06/16/2022 1:00:00 PM,Staten Island,Clove Lakes Park,Night Heron (Unknown),Native,Injured,Birds,0
06/16/2022 2:20:00 PM,Manhattan,35th Street,Herring Gull,Native,Unhealthy,Birds,1
06/18/2022 10:00:00 AM,Queens,Flushing Meadows Corona Park,Red-tailed Hawk,Native,Healthy,Raptors,1
06/19/2022 10:00:00 AM,Queens,Little Bay Park,Canada Goose,Native,Injured,Birds,0
06/19/2022 10:45:00 AM,Queens,Alley Pond Park,Mute Swan,Invasive,Healthy,Birds,1
06/21/2022 10:00:00 AM,Brooklyn,Bushwick Inlet Park,Bird (Unknown),Native,Healthy,Birds,1
06/21/2022 12:00:00 PM,Manhattan,Tompkins Square Park,American Kestrel,Native,Healthy,Raptors,1
06/21/2022 4:00:00 PM,Brooklyn,McCarren Park,Red-tailed Hawk,Native,Healthy,Raptors,1
06/21/2022 10:30:00 PM,Brooklyn,McCarren Park,Red-tailed Hawk,Native,Healthy,Raptors,1
06/24/2022 12:00:00 PM,Queens,Astoria Park,Rock Dove,Native,Injured,Birds,0
06/25/2022 12:30:00 PM,Queens,Alley Pond Park,American Robin,Native,Healthy,Birds,1
06/25/2022 1:00:00 PM,Manhattan,J. Hood Wright Park,House Sparrow,Native,,Birds,1
06/26/2022 4:00:00 PM,Brooklyn,Brooklyn Bridge Park,American Black Duck,Native,Healthy,Birds,1
06/27/2022 10:30:00 AM,Queens,Queensboro Hall,Red-tailed Hawk,Native,N/A,Birds,0
06/27/2022 3:10:00 PM,Queens,Queensboro Hall,Rock Dove,Native,Healthy,Birds,1
06/28/2022 4:30:00 PM,Bronx,Siren Slope,Chicken,Domestic,Healthy,"Domestic, Birds",2
06/29/2022 8:00:00 AM,Staten Island,Wolfe's Pond Park,Mute Swan,Invasive,Unhealthy,Birds,1
06/29/2022 4:00:00 PM,Bronx,Pelham Bay Park,Canada Goose,Native,Injured,Birds,0
