Date and Time of initial call,Date and time of Ranger response,Borough,Property,Location,Species Description,Call Source,Species Status,Animal Condition,Duration of Response,Age,Animal Class,311SR Number,Final Ranger Action,# of Animals,PEP Response,Animal Monitored,Rehabilitator,Hours spent monitoring,Police Response,ESU Response,ACC Intake Number
11/29/2018 01:20:00 PM,11/29/2018 01:20:00 PM,Brooklyn,Prospect Park,"Villa Woods (40.666332, -73.974255)",Raccoon,"Conservancies/""Friends of"" Groups",Native,Unhealthy,1,Adult,Small Mammals-RVS,1-1-1647544804,ACC,1,false,false,,,false,false,48355
11/29/2018 01:40:00 PM,11/29/2018 01:45:00 PM,Queens,Forest Park,"Between band shell and picnic area 40.699082, -73.858867",Striped Skunk,Employee,Native,Unhealthy,2.5,Adult,Small Mammals-RVS,1-1-1647482741,ACC,1,false,false,,,false,false,48364
11/29/2018 07:34:00 AM,11/29/2018 09:00:00 AM,Queens,Frank Golden Park,"Field near playground 40.784661, -73.832497",Raccoon,Central,Native,DOA,1,Juvenile,Small Mammals-RVS,1-1-1647544801,Relocated/Condition Corrected,1,false,false,,,false,false,
11/28/2018 10:15:00 AM,11/28/2018 01:30:00 PM,Manhattan,Central Park,Harlem Meer,Canada Goose,"Conservancies/""Friends of"" Groups",Native,N/A,0.5,Adult,Birds,,Unfounded,0,false,false,,,false,false,
11/22/2018 04:15:00 PM,11/22/2018 04:30:00 PM,Brooklyn,Prospect Park,"Prospect Park, by Grecian Shelter",Raccoon,Employee,Native,Unhealthy,1,Adult,Small Mammals-RVS,,Unfounded,0,false,false,,,false,false,
11/26/2018 09:40:00 AM,11/26/2018 09:40:00 AM,Brooklyn,Prospect Park,"Bartel Pritchard Square (40.6610758, -73.9790777)",Raccoon,"Conservancies/""Friends of"" Groups",Native,Unhealthy,1,Adult,Small Mammals-RVS,1-1-16475333360,ACC,1,false,false,,,false,false,48089
11/26/2018 08:45:00 AM,11/26/2018 09:30:00 AM,Brooklyn,Prospect Park,"Peninsula (40.6572488, -73.9665746)",Raccoon,"Conservancies/""Friends of"" Groups",Native,Unhealthy,1.5,Adult,Small Mammals-RVS,1-1-16475333360,ACC,1,false,false,,,false,false,48088
11/25/2018 12:30:00 PM,11/25/2018 01:00:00 PM,Brooklyn,Prospect Park,Prospect Park Lullwater,Turtle (Unknown),Central,N/A,N/A,1.5,Adult,Terrestrial Reptile or Amphibian,,Unfounded,0,false,false,,,false,false,
11/25/2018 10:30:00 AM,11/25/2018 10:50:00 AM,Brooklyn,Prospect Park,Park entrance at Bartel-Pritchard Square,Raccoon,"Conservancies/""Friends of"" Groups",Native,Unhealthy,2,Adult,Small Mammals-RVS,,Monitored Animal,1,false,true,,2,false,false,
11/21/2018 04:00:00 PM,11/21/2018 04:30:00 PM,Brooklyn,Prospect Park,Parade Grounds by Tennis Center,Raccoon,Employee,Native,N/A,0.5,Adult,Small Mammals-RVS,,Unfounded,0,false,false,,,false,false,
11/23/2018 01:20:00 PM,11/23/2018 01:50:00 PM,Brooklyn,Prospect Park,Eastwood (Zone 3),Raccoon,Employee,Native,DOA,0.5,Adult,Small Mammals-RVS,,Relocated/Condition Corrected,1,false,false,,,false,false,
11/23/2018 12:45:00 PM,11/23/2018 12:55:00 PM,Brooklyn,Prospect Park,Wellhouse Drive by Bathrooms,Raccoon,Central,Native,N/A,1,Adult,Small Mammals-RVS,,Unfounded,0,false,false,,0.5,false,false,
11/24/2018 01:00:00 PM,11/24/2018 01:06:00 PM,Brooklyn,Prospect Park,Parade Grounds,Ruddy Duck,Employee,Native,DOA,0.75,Adult,Birds,1-1-1648029140,Relocated/Condition Corrected,1,false,false,,,false,false,
11/21/2018 04:10:00 PM,11/22/2018 11:00:00 AM,Manhattan,Fort Tryon Park,Dongan Lawn,Red-tailed Hawk,Other,Native,Healthy,1.25,Juvenile,Raptors,,Rehabilitator,1,false,false,Bobby Horvath,,false,false,
11/18/2018 01:45:00 PM,11/18/2018 02:00:00 PM,Brooklyn,Prospect Park,Near Well House,Raccoon,Public,Native,DOA,0.5,Adult,Small Mammals-RVS,,Relocated/Condition Corrected,1,false,false,,,false,false,
11/22/2018 02:18:00 PM,11/22/2018 02:25:00 PM,Queens,Forest Park,"Forest Park Drive and Woodhaven Blvd, near Pink picnic area - 40.6989848, -73.8586221",Raccoon,Central,Native,Unhealthy,2.75,Adult,Small Mammals-RVS,1-1-1648309854,ACC,1,false,false,,,false,false,47849
11/22/2018 02:00:00 PM,11/22/2018 02:05:00 PM,Brooklyn,Prospect Park,"West Drive near southwest entrance at Coney Island Ave and Parkside Ave 40.652014, -73.971391",Raccoon,"Conservancies/""Friends of"" Groups",Native,Unhealthy,1.5,Adult,Small Mammals-RVS,1-1-1647492256,ACC,1,false,false,,,false,false,47848
11/22/2018 09:30:00 AM,11/22/2018 09:50:00 AM,Brooklyn,Prospect Park,"Center Drive near Lookout Hill 40.6589715,-73.9714827",Raccoon,Central,Native,Unhealthy,2,Adult,Small Mammals-RVS,1-1-1648239575,ACC,1,false,false,,,false,false,47846
11/21/2018 02:15:00 PM,11/21/2018 02:30:00 PM,Brooklyn,Prospect Park,"South of Duck Island between East Drive and Parkside Avenue 40.6542578,-73.9640731",Raccoon,Employee,Native,DOA,0.5,Adult,Small Mammals-RVS,,Relocated/Condition Corrected,1,false,false,,,false,false,
11/21/2018 10:00:00 AM,11/21/2018 02:00:00 PM,Manhattan,Central Park,"Central Park Zoo Lot 40.767131, -73.972765",Raccoon,Other,Native,Healthy,1,Adult,Small Mammals-RVS,,Relocated/Condition Corrected,1,false,false,,,false,false,
11/21/2018 10:00:00 AM,11/21/2018 02:00:00 PM,Manhattan,Central Park,"Cental Park Zoo Lot 40.767131, -73.972765",Virginia Opossum,Other,Native,Healthy,1,Adult,Small Mammals-non RVS,,Relocated/Condition Corrected,1,false,false,,,false,false,
11/21/2018 09:30:00 AM,11/21/2018 10:30:00 AM,Manhattan,Central Park,100th St Pool,Bat (Unknown),Central,Native,N/A,1,Adult,Small Mammals-RVS,1-1-1647717122,Unfounded,0,false,false,,,false,false,
11/20/2018 09:00:00 AM,11/20/2018 10:00:00 AM,Brooklyn,Prospect Park,Picnic House,Raccoon,Employee,Native,Unhealthy,1,Adult,Small Mammals-RVS,1-1-1647509001,ACC,1,false,false,,,false,false,47717
11/19/2018 08:15:00 AM,11/19/2018 08:45:00 AM,Brooklyn,Prospect Park,"Peristyle  40.653175, -73.9676837",Raccoon,"Conservancies/""Friends of"" Groups",Native,Unhealthy,2.5,Adult,Small Mammals-RVS,1-1-164416035,ACC,1,true,false,,,false,false,47622
11/19/2018 12:00:00 AM,11/19/2018 12:00:00 AM,Brooklyn,Prospect Park,"LeFrak Center at Lakeside (40.6567137, -73.9639433)",Raccoon,"Conservancies/""Friends of"" Groups",Native,Unhealthy,2.5,Adult,Small Mammals-RVS,1-1-1642034892,ACC,1,false,false,,,false,false,47653
11/19/2018 03:00:00 PM,11/19/2018 03:00:00 PM,Manhattan,Central Park,79th St. Yard,Raccoon,"Conservancies/""Friends of"" Groups",Native,DOA,1,Adult,Small Mammals-RVS,,Relocated/Condition Corrected,1,false,false,,,false,false,
11/19/2018 11:30:00 AM,11/19/2018 12:00:00 PM,Brooklyn,Prospect Park,"LeFrak Center at Lakeside (40.6568144, - 73.9639470)",Raccoon,"Conservancies/""Friends of"" Groups",Native,Unhealthy,2.5,Adult,Small Mammals-RVS,1-1-1642034892,ACC,1,false,false,,,false,false,47652
11/19/2018 11:30:00 AM,11/19/2018 12:00:00 PM,Brooklyn,Prospect Park,"Just south of the Garfield Tot Lot (40.6695019, -73.9720862)",Raccoon,"Conservancies/""Friends of"" Groups",Native,Unhealthy,2.5,Adult,Small Mammals-RVS,1-1-1642034892,ACC,1,false,false,,,false,false,47651
11/19/2018 10:45:00 AM,11/19/2018 11:30:00 AM,Brooklyn,Prospect Park,"North Lullwater near Terrace Bridge (40.6591937, -73.9686342)",Raccoon,"Conservancies/""Friends of"" Groups",Native,Unhealthy,2.5,Adult,Small Mammals-RVS,1-1-1642034892,ACC,1,false,false,,,false,false,47650
11/18/2018 04:00:00 PM,11/18/2018 04:15:00 PM,Brooklyn,Prospect Park,"Outside of the Eastwood Building front door (40.6617498, -73.9652335)",Raccoon,"Conservancies/""Friends of"" Groups",Native,Unhealthy,2,Adult,Small Mammals-RVS,1-1-1641418800,ACC,1,false,false,,,false,false,47599
