Date and Time of initial call,Date and time of Ranger response,Borough,Property,Location,Species Description,Call Source,Species Status,Animal Condition,Duration of Response,Age,Animal Class,311SR Number,Final Ranger Action,# of Animals,PEP Response,Animal Monitored,Rehabilitator,Hours spent monitoring,Police Response,ESU Response,ACC Intake Number
10/22/2020 04:00:00 PM,10/22/2020 04:15:00 PM,Queens,Crocheron Park,Joe Michaels Mile,Mute Swan,Public,Invasive,Injured,2.25,Adult,Birds,311-04368437,Rehabilitator,1,false,false,Wild Bird Fund,,false,false,
10/22/2020 01:30:00 PM,10/22/2020 03:45:00 PM,Manhattan,Randall's Island Park,In front of Five Boro Garage,Raccoon,Employee,Native,Healthy,2,Adult,Small Mammals-RVS,0311-0436875,Monitored Animal,1,false,true,,2,false,false,
10/20/2020 05:30:00 PM,10/21/2020 02:35:00 PM,Manhattan,Central Park,West 100th Street Pool,Gadwall,Public,Native,N/A,1,Adult,Birds,,Unfounded,0,false,false,,,false,false,
10/20/2020 05:35:00 PM,10/20/2020 05:40:00 PM,Manhattan,Central Park,West 100th Street Pool,Gadwall,Public,Native,Injured,0.5,Adult,Birds,,Monitored Animal,1,false,false,,,false,false,
10/21/2020 07:00:00 AM,10/21/2020 09:00:00 AM,Manhattan,Fort Tryon Park,Behind Anne Loftus Playground,Dog,Employee,Domestic,Healthy,2,Adult,Domestic,311-04355142,ACC,1,false,false,,,false,false,105558
10/21/2020 08:05:00 AM,10/21/2020 12:40:00 PM,Queens,Alley Pond Park,"Adventure Course parking lot, white trail",Raccoon,Central,Native,Unhealthy,1,Adult,Small Mammals-RVS,311-04355728,ACC,1,false,false,,,false,false,141290
10/20/2020 01:00:00 PM,10/20/2020 01:00:00 PM,Brooklyn,Prospect Park,S/O Boathouse,Bird (Unknown),Central,Native,N/A,1,Adult,Birds,,Unfounded,0,false,false,,,false,false,
10/20/2020 02:25:00 PM,10/20/2020 02:25:00 PM,Queens,Alley Pond Park,By parking lot off Springfield Blvd and 76th Avenue,Raccoon,Public,Native,Unhealthy,1.5,Adult,Small Mammals-RVS,311-04-34-7241,ACC,1,false,false,,,false,false,141188
10/20/2020 12:00:00 PM,10/20/2020 12:00:00 PM,Staten Island,Blue Heron Park,Blue Heron Nature Center,White-throated Sparrow,Observed by Ranger,Native,Injured,0.75,Adult,Birds,,Relocated/Condition Corrected,1,false,false,,,false,false,
10/19/2020 11:30:00 AM,10/19/2020 12:00:00 PM,Brooklyn,Prospect Park,"40°39'29.1""N 73°57'56.5""W - Weeded edge of lake near Music Island",Raccoon,Public,Native,Unhealthy,2,Adult,Small Mammals-RVS,31104334064,ACC,1,false,false,,,false,false,105470
10/18/2020 02:00:00 PM,10/18/2020 02:30:00 PM,Brooklyn,Prospect Park,"40.653778,-73.968396 -Parkside ave and ocean ave entrance - Lake",Raccoon,Public,Native,Unhealthy,1.5,Adult,Small Mammals-RVS,311-04324668,ACC,1,false,false,,,false,false,105393
10/18/2020 08:00:00 AM,10/18/2020 08:00:00 AM,Brooklyn,Brooklyn Bridge Park,Pier 1 Garden,Eastern Red Bat,Employee,Native,Injured,3,Adult,Small Mammals-RVS,,Rehabilitator,1,true,false,Wild Bird Fund,,false,false,
10/17/2020 12:00:00 PM,10/17/2020 01:00:00 PM,Manhattan,Central Park,East 96th and 5th Avenue,Bat (Unknown),Central,Native,N/A,0.45,Adult,Small Mammals-RVS,,Unfounded,0,false,false,,,false,false,
10/16/2020 04:00:00 PM,10/17/2020 08:30:00 AM,Manhattan,Central Park,Pergola near Belvedere Castle,Tufted Titmouse,"Conservancies/""Friends of"" Groups",Native,DOA,1,Adult,Birds,,Relocated/Condition Corrected,1,false,false,,,false,false,
10/16/2020 04:00:00 PM,10/17/2020 04:30:00 PM,Manhattan,Central Park,Pergola near Belvedere Castle,Tufted Titmouse,"Conservancies/""Friends of"" Groups",Native,Healthy,1.5,Adult,Birds,,Monitored Animal,1,false,true,,1,false,false,
08/28/2020 01:00:00 PM,08/28/2020 01:00:00 PM,Queens,Forest Park,Forest Park Visitor Center,Rock Dove,Public,Native,Injured,0.25,Adult,Birds,,Relocated/Condition Corrected,1,false,false,,,false,false,
10/16/2020 09:00:00 AM,10/16/2020 09:30:00 AM,Brooklyn,McCarren Park,McCarren Park Comfort Station,Eastern Gray Squirrel,Public,Native,Injured,2,Adult,Small Mammals-non RVS,311-04303487,ACC,1,false,false,,,false,false,
10/15/2020 02:30:00 PM,10/15/2020 02:45:00 PM,Brooklyn,Highland Park,Jamaica Avenue and Cleveland Street,Peregrine Falcon,Employee,Native,Injured,1.75,Adult,Raptors,311-04296682,Rehabilitator,1,false,false,Bobby Horvath,,false,false,
10/15/2020 03:30:00 PM,10/15/2020 04:30:00 PM,Manhattan,Jackie Robinson Park,Bradhurst Ave and W 150th Street,Red-tailed Hawk,Public,Native,N/A,0.5,Juvenile,Raptors,,Unfounded,0,false,false,,,false,false,
10/15/2020 12:45:00 PM,10/15/2020 01:00:00 PM,Staten Island,Clove Lakes Park,In pond near Martling Ave,Mallard Duck,Public,Native,Injured,1,Adult,Birds,,Unfounded,0,false,false,,,false,false,
10/14/2020 01:00:00 PM,10/15/2020 10:15:00 AM,Manhattan,Randall's Island Park,Bird was last seen at the southern end of the Little Hellgate salt marsh yesterday (10/14/20),Double-crested Cormorant,Other,Native,Injured,1,Juvenile,Birds,,Unfounded,0,false,false,,,false,false,
10/14/2020 02:25:00 PM,10/14/2020 02:30:00 PM,Bronx,Mapes Pool,Inside empty pool,Cat,Central,Domestic,Healthy,1,Juvenile,Domestic,,Monitored Animal,1,false,false,,,false,false,
10/14/2020 01:25:00 PM,10/14/2020 01:30:00 PM,Bronx,Magenta Playground,Inside Playground,Cat,Central,Domestic,N/A,1,Adult,Domestic,,Unfounded,0,false,false,,,false,false,
10/14/2020 01:00:00 PM,10/14/2020 02:00:00 PM,Manhattan,Randall's Island Park,Little Hell Gate Salt Marsh,Double-crested Cormorant,Other,Native,Injured,4,Juvenile,Birds,,Monitored Animal,1,false,false,,,false,false,
10/14/2020 09:50:00 AM,10/14/2020 10:00:00 AM,Manhattan,Central Park,Harlem Meer on Bird Island,Shorebird (Unknown),"Conservancies/""Friends of"" Groups",Native,Injured,0.5,Adult,Birds,,Unfounded,0,false,false,,,false,false,
10/13/2020 05:15:00 PM,10/13/2020 05:30:00 PM,Brooklyn,American Veterans Memorial Pier,Waste Treatment Plant,Peregrine Falcon,Other,Native,Injured,2.5,Adult,Raptors,311-04277525,Rehabilitator,1,false,false,Bobby Horvath,,false,false,
10/13/2020 01:30:00 PM,10/13/2020 02:25:00 PM,Staten Island,Clove Lakes Park,Martlings Pond,Domestic Duck,Employee,Domestic,N/A,1.5,Adult,Birds,,Unfounded,0,false,false,,,false,false,
10/12/2020 04:00:00 PM,10/12/2020 04:00:00 PM,Brooklyn,Bushwick Playground,Bushwick Pool,Eastern Gray Squirrel,Central,Native,N/A,0.5,Adult,Small Mammals-non RVS,,Unfounded,0,false,false,,,false,false,
10/11/2020 10:00:00 AM,10/11/2020 10:00:00 AM,Brooklyn,Sunset Park,5 Ave and 41 St,Canada Goose,Central,Native,Healthy,1.5,Adult,Birds,,Relocated/Condition Corrected,1,false,false,,,false,false,
10/10/2020 01:00:00 PM,10/10/2020 03:00:00 PM,Manhattan,Columbus Park,Baxter Street,Red-tailed Hawk,Employee,Native,Unhealthy,4,Juvenile,Raptors,311-04246469,Rehabilitator,1,false,false,Bobby Horvath,,false,false,
10/10/2020 12:48:00 PM,10/10/2020 01:20:00 PM,Brooklyn,Brower Park,By Playground Area,Chicken,Central,Domestic,Healthy,2,Adult,Birds,311-04244040,ACC,1,false,false,,,false,false,104784
10/10/2020 03:00:00 PM,10/10/2020 03:30:00 PM,Staten Island,Clove Lakes Park,Bridle Path,Great Blue Heron,Employee,Native,N/A,1,Adult,Birds,,Unfounded,0,false,false,,,false,false,
10/09/2020 03:00:00 PM,10/09/2020 03:10:00 PM,Manhattan,Central Park,"E 66th street and Central Park Drive, in a field just north of the overpass. 40.769044, -73.970491",Red-tailed Hawk,Public,Native,Healthy,0.75,Juvenile,Raptors,,Advised/Educated others,1,false,false,,,false,false,
10/09/2020 09:45:00 AM,10/09/2020 10:45:00 AM,Staten Island,Midland Playground,Midland playground,Muskrat,Employee,Native,Healthy,1,Adult,Small Mammals-non RVS,,Relocated/Condition Corrected,1,false,false,,,false,false,
10/09/2020 12:00:00 PM,10/09/2020 01:00:00 PM,Staten Island,Willowbrook Park,maintenance facility at entrance,Domestic Duck,Employee,Domestic,Healthy,1.75,Adult,Birds,311-04234286,ACC,4,false,false,,,false,false,
10/09/2020 08:55:00 AM,10/09/2020 09:12:00 AM,Manhattan,Central Park,"E 83rd street and Central Park Drive, at the middle entrance to the Great Lawn",Rock Dove,Central,Native,N/A,0.5,Adult,Birds,,Unfounded,0,false,false,,,false,false,
10/08/2020 08:30:00 AM,10/08/2020 09:30:00 AM,Manhattan,Central Park,59th Street Pond,Mallard Duck,Public,Native,N/A,1,Adult,Birds,,Unfounded,0,false,false,,,false,false,
10/07/2020 10:00:00 AM,10/07/2020 10:00:00 AM,Manhattan,Inwood Hill Park,Payson Nature Center Basement,Garter Snake,Employee,Native,Healthy,0.5,Adult,Terrestrial Reptile or Amphibian,,Relocated/Condition Corrected,1,false,false,,,false,false,
10/06/2020 04:45:00 PM,10/06/2020 05:00:00 PM,Manhattan,Riverside Park,West 74th and Riverside Dr,Eastern Gray Squirrel,Employee,Native,Unhealthy,1,Adult,Small Mammals-non RVS,n/a,Relocated/Condition Corrected,1,false,false,,,false,false,
10/03/2020 01:45:00 PM,10/03/2020 01:50:00 PM,Staten Island,Blue Heron Park,"near the Spring Pond bridge, GPS 40.529311, -74.176272",Raccoon,Public,Native,DOA,0.25,Adult,Small Mammals-RVS,,Relocated/Condition Corrected,1,false,false,,,false,false,
10/05/2020 03:05:00 PM,10/06/2020 10:12:00 AM,Staten Island,Reed's Basket Willow Swamp Park,Entrance of trail at Forest Road,Snake (Unknown),Employee,Exotic,N/A,1.75,Adult,Terrestrial Reptile or Amphibian,,Unfounded,0,false,true,,1.25,false,false,
10/06/2020 09:45:00 AM,10/06/2020 09:45:00 AM,Brooklyn,Marine Park,Green bridge to nature trail,Laughing Gull,Public,Native,Injured,0.25,Adult,Birds,,Monitored Animal,1,false,false,,,false,false,
10/05/2020 02:10:00 PM,10/05/2020 02:21:00 PM,Staten Island,High Rock Park,Yellow Trail,Wood Thrush,Employee,Native,Injured,2.25,Adult,Birds,311-04193719,ACC,1,false,false,,,false,false,104407
10/04/2020 02:30:00 PM,10/04/2020 02:30:00 PM,Manhattan,Riverside Park,"W 73rd & Riverside Drive, lower level",Cockatiel,Employee,Domestic,Healthy,2,Adult,Birds,311-0418-2578,ACC,1,false,false,,,false,false,104354
10/04/2020 12:15:00 PM,10/04/2020 12:16:00 PM,Staten Island,Blue Heron Park,Blue Heron Nature Center,Gray Catbird,Public,Native,Injured,1.5,Adult,Birds,,Relocated/Condition Corrected,1,false,true,,0.5,false,false,
10/03/2020 04:00:00 PM,10/03/2020 04:30:00 PM,Bronx,Van Cortlandt Park,Golf House,Mallard Duck,Central,Native,Injured,2,Adult,Birds,,Monitored Animal,1,false,true,,2,false,false,
10/03/2020 01:30:00 PM,10/03/2020 02:30:00 PM,Bronx,Van Cortlandt Park,Golf House,Domestic Duck,Central,Domestic,Healthy,1,Adult,Birds,311-04169311,Rehabilitator,1,false,false,Wild Bird Fund,,false,false,
10/02/2020 08:20:00 PM,10/03/2020 09:00:00 AM,Staten Island,Snug Harbor Cultural Center,"By the Hendersen Avenue entrance.  GPS 40.639565, -74.103314",Raccoon,Employee,Native,DOA,2.25,Adult,Small Mammals-RVS,311-04158842,Relocated/Condition Corrected,1,false,false,,,false,false,
10/02/2020 11:00:00 AM,10/02/2020 11:30:00 PM,Manhattan,Sara D. Roosevelt Park,Next to the garden on fosyth,Virginia Opossum,Public,Native,Injured,3,Adult,Small Mammals-non RVS,311-04158043,ACC,1,false,false,,,false,false,104172
10/02/2020 11:30:00 AM,10/02/2020 11:45:00 AM,Brooklyn,McCarren Park,150 N 12th Street,Bird (Unknown),Central,Native,Injured,1,Adult,Birds,,Unfounded,0,false,false,,,false,false,
10/01/2020 02:00:00 PM,10/01/2020 02:00:00 PM,Staten Island,Blue Heron Park,Spring Pond,Eastern Gray Squirrel,Observed by Ranger,Native,Unhealthy,1,Juvenile,Small Mammals-non RVS,311-04146961,ACC,1,false,false,,,false,false,104115
09/30/2020 01:11:00 PM,09/30/2020 01:30:00 PM,Brooklyn,John Paul Jones Park,By Fort Hamilton and 101 street,Rock Dove,Central,Native,Injured,3.5,Adult,Birds,311-04135147,Rehabilitator,1,false,false,Wild Bird Fund,,false,false,
09/30/2020 11:00:00 AM,09/30/2020 11:05:00 AM,Brooklyn,Coney Island Creek Park,Across the street from 3602 Bayview Avenue,Red-Eared Slider,Employee,Invasive,Healthy,1.5,Adult,Terrestrial Reptile or Amphibian,311-04134628,ACC,2,true,false,,,false,false,"103963, 103964"
09/30/2020 01:25:00 PM,09/30/2020 02:00:00 PM,Manhattan,Central Park,E72nd & 5th ave. On the main walking path going down to Conservatory Waters,Eastern Gray Squirrel,"Conservancies/""Friends of"" Groups",Native,Injured,1,Adult,Small Mammals-non RVS,,Relocated/Condition Corrected,1,false,false,,,false,false,
09/30/2020 09:10:00 AM,09/30/2020 09:20:00 AM,Manhattan,Central Park,"Tennis Center Restroom, West Drive & W94th",Cat,Employee,Domestic,Healthy,2,Adult,Domestic,311-04135313,ACC,1,false,false,,,false,false,103956
09/29/2020 04:45:00 PM,09/29/2020 05:00:00 PM,Manhattan,East River Esplanade,"East of Pier 42 at Jackson Street and East River Esplanade, along the river",Softshell Turtle,Public,Exotic,Unhealthy,2,Adult,Terrestrial Reptile or Amphibian,311-04135987,Rehabilitator,1,false,false,Wild Bird Fund,,false,false,
09/28/2020 12:00:00 PM,09/28/2020 02:00:00 PM,Brooklyn,Prospect Park,Near Bartell Pritchard,Chukar,"Conservancies/""Friends of"" Groups",Exotic,N/A,1,Adult,Birds,,Unfounded,0,false,false,,,false,false,
09/29/2020 02:45:00 PM,09/29/2020 03:00:00 PM,Staten Island,Blue Heron Park,Blue Heron Nature Center,Domestic Duck,Public,Domestic,Healthy,1.25,Juvenile,Birds,,ACC,1,false,false,,,false,false,103921
09/29/2020 12:15:00 PM,09/29/2020 12:20:00 PM,Queens,Forest Park,Forest Park Drive and Jackie Robinson Parkway,Guineafowl,Employee,Exotic,Healthy,1,Adult,Birds,311-04127578,ACC,1,false,false,,,false,false,103902
09/28/2020 02:13:00 PM,09/29/2020 09:10:00 AM,Queens,Rockaway Beach and Boardwalk,Beach 28th to 56th Street,American Oystercatcher,Public,Native,Injured,1.5,Adult,Birds,,Monitored Animal,3,false,true,,0.75,false,false,
09/28/2020 01:00:00 PM,09/28/2020 01:15:00 PM,Manhattan,Central Park,Adventure playground,Raccoon,"Conservancies/""Friends of"" Groups",Native,Healthy,0.5,Adult,Small Mammals-RVS,n/a,Relocated/Condition Corrected,1,false,false,,,false,false,
09/27/2020 01:30:00 PM,09/27/2020 01:45:00 PM,Brooklyn,Prospect Park,V/O boathouse,Mallard Duck,Central,Native,Injured,3,Adult,Birds,,Rehabilitator,1,false,true,Wild Bird Fund,1.5,false,false,
09/28/2020 02:13:00 PM,09/28/2020 02:40:00 PM,Queens,Rockaway Beach and Boardwalk,On the sand at Beach 34th St,American Oystercatcher,Public,Native,Injured,2.25,Adult,Birds,,Unfounded,0,false,false,,,false,false,
09/28/2020 08:15:00 AM,09/28/2020 08:20:00 AM,Staten Island,Blue Heron Park,Blue Heron Nature Center,Common Snapping Turtle,Observed by Ranger,Native,Healthy,0.25,Infant,Terrestrial Reptile or Amphibian,,Relocated/Condition Corrected,1,false,false,,,false,false,
09/27/2020 10:40:00 AM,09/27/2020 11:00:00 AM,Queens,Flushing Meadows Corona Park,Ball field 13,Raccoon,Central,Native,Unhealthy,2,Juvenile,Small Mammals-RVS,311-04104054,ACC,1,true,false,,,false,false,
09/26/2020 11:00:00 AM,09/26/2020 12:00:00 PM,Brooklyn,Prospect Park,Peninsula,Mallard Duck,Employee,Native,Injured,1,Adult,Birds,,Unfounded,0,false,false,,,false,false,
09/26/2020 01:15:00 PM,09/26/2020 01:15:00 PM,Manhattan,Fort Tryon Park,West of Dog Run,Domestic Dove,Observed by Ranger,Domestic,Healthy,0.25,Adult,Birds,,Advised/Educated others,1,false,false,,,false,false,
09/26/2020 12:45:00 PM,09/26/2020 02:00:00 PM,Bronx,Van Cortlandt Park,Baseball Field,Striped Skunk,Central,Native,Injured,0.75,Adult,Small Mammals-RVS,,Relocated/Condition Corrected,1,false,false,,,false,true,
09/26/2020 12:45:00 PM,09/26/2020 01:00:00 PM,Bronx,Van Cortlandt Park,Tennis Court,Eastern Gray Squirrel,Central,Native,N/A,1,Adult,Small Mammals-non RVS,,Unfounded,0,false,false,,,false,false,
09/26/2020 09:25:00 AM,09/26/2020 09:40:00 AM,Queens,Barrier Playground,Horace Harding Expwy and 62 Ave,Virginia Opossum,Central,Native,Injured,0.75,Adult,Small Mammals-non RVS,,Unfounded,0,false,false,,,false,false,
09/26/2020 09:30:00 AM,09/26/2020 12:30:00 PM,Brooklyn,Msgr. McGolrick Park,By Driggs Avenue and Russell Street,Eastern Gray Squirrel,Central,Native,N/A,0.5,Adult,Small Mammals-non RVS,,Unfounded,0,false,false,,,false,false,
09/25/2020 01:30:00 PM,09/25/2020 02:45:00 PM,Manhattan,Morningside Park,"West 121st st and Morningside Drive 40.809228, -73.957066",Raccoon,Employee,Native,Unhealthy,1,Adult,Small Mammals-RVS,311-04081601,ACC,1,false,false,,,false,false,103638
09/24/2020 12:00:00 PM,09/24/2020 12:00:00 PM,Brooklyn,Calvert Vaux Park,Forested area along southern waterfront,White-tailed Deer,Observed by Ranger,Native,Healthy,3,Adult,Deer,,Monitored Animal,1,false,true,,2,false,false,
09/24/2020 04:30:00 PM,09/24/2020 05:00:00 PM,Manhattan,Central Park,"Pilgrim Hill, 72nd St West of 5Th Ave",Eastern Gray Squirrel,Public,Native,DOA,0.5,Adult,Small Mammals-non RVS,,Relocated/Condition Corrected,1,false,false,,,false,false,
09/24/2020 04:45:00 PM,09/24/2020 12:00:00 AM,Staten Island,Silver Lake Park,In tennis court,Eastern Gray Squirrel,Employee,Native,Healthy,1.5,Juvenile,Small Mammals-non RVS,,Relocated/Condition Corrected,1,false,false,,,false,false,
09/23/2020 08:36:00 AM,09/23/2020 08:55:00 AM,Manhattan,Riverside Park,143rd Street and Riverside Drive,Cat,Central,Domestic,N/A,0.75,Adult,Domestic,,Unfounded,0,false,false,,,false,false,
09/30/2020 08:45:00 AM,09/23/2020 09:00:00 AM,Queens,Alley Pond Park,Oakland Lake,Dog,Central,Domestic,Injured,1,Adult,Domestic,,Unfounded,0,false,false,,,false,false,
09/22/2020 11:30:00 AM,09/22/2020 11:00:00 AM,Manhattan,Fort Washington Park,"Fort Washington Soccer Field, near 164th St",Domestic Duck,Public,Domestic,Healthy,1.5,Adult,Birds,,Monitored Animal,1,false,true,,1.5,false,false,
09/21/2020 11:30:00 AM,09/21/2020 11:50:00 AM,Manhattan,Central Park,East Dr and 79th St,Eastern Gray Squirrel,"Conservancies/""Friends of"" Groups",Native,Injured,1,Adult,Small Mammals-non RVS,n/a,Relocated/Condition Corrected,1,false,false,,,false,false,
09/21/2020 04:25:00 PM,09/21/2020 04:25:00 PM,Bronx,Van Cortlandt Park,Van Cortlandt Lake,Canada Goose,Observed by Ranger,Native,Healthy,0.1,Adult,Birds,,Relocated/Condition Corrected,1,false,false,,,false,false,
09/20/2020 12:00:00 PM,09/20/2020 03:45:00 PM,Manhattan,Union Square Park,Playground,Striped Skunk,Central,Native,DOA,0.5,Adult,Small Mammals-RVS,311-04028078,Relocated/Condition Corrected,1,false,false,,,false,false,
09/20/2020 01:30:00 PM,09/20/2020 01:35:00 PM,Staten Island,Green street,N. Bridge Street and Veterans Road West,Chicken,Employee,Domestic,Injured,0.75,Adult,Birds,311-04028684,ACC,1,false,false,,,false,false,10332
09/20/2020 12:00:00 PM,09/20/2020 12:00:00 PM,Brooklyn,Prospect Park,"Prospect Park Lake, Across Vanderbilt Playground",Red-Eared Slider,Public,Invasive,Healthy,0.5,Infant,Terrestrial Reptile or Amphibian,,Relocated/Condition Corrected,1,false,false,,,false,false,
09/19/2020 02:40:00 PM,09/19/2020 03:00:00 PM,Staten Island,Clove Lakes Park,Near FDNY building,Raccoon,Employee,Native,DOA,0.75,Adult,Small Mammals-RVS,,Relocated/Condition Corrected,1,true,false,,,false,false,
09/19/2020 11:00:00 AM,09/19/2020 11:30:00 AM,Manhattan,Morningside Park,West 122nd and Morningside Drive inside the Park,Raccoon,Employee,Native,Unhealthy,3,Juvenile,Small Mammals-RVS,311-04015876,ACC,1,true,true,,1,false,false,103246
09/18/2020 07:06:00 PM,09/19/2020 09:00:00 AM,Staten Island,Wolfe's Pond Park,Near pond,Virginia Opossum,Other,Native,Unhealthy,0.5,Adult,Small Mammals-non RVS,,Unfounded,0,false,false,,,false,false,
09/16/2020 11:00:00 AM,09/17/2020 01:00:00 PM,Manhattan,Union Square Park,Playground,Striped Skunk,Central,Native,Healthy,0.5,Adult,Small Mammals-RVS,,Monitored Animal,1,false,false,,,false,false,
09/16/2020 05:15:00 PM,09/16/2020 05:30:00 PM,Manhattan,Central Park,79th St and Central Park E Dr,Carolina Wren,Public,Native,Injured,1,Adult,Birds,311-03983095,Rehabilitator,1,false,false,Wild Bird Fund,,false,false,
09/16/2020 04:40:00 PM,09/16/2020 04:40:00 PM,Manhattan,Inwood Hill Park,Indian Road Playground,Dog,Public,Domestic,N/A,1,Adult,Domestic,,Unfounded,0,false,false,,,false,false,
09/16/2020 10:55:00 AM,09/16/2020 11:00:00 AM,Manhattan,Union Square Park,The eastern most slide in Evelyn's Playground,Striped Skunk,Central,Native,Healthy,1.75,Adult,Small Mammals-RVS,,Monitored Animal,1,false,true,,1,false,true,
09/16/2020 09:10:00 AM,09/16/2020 09:30:00 AM,Queens,Rockaway Beach and Boardwalk,Beach 33rd street and shoreline,American Oystercatcher,Employee,Native,Injured,1,Adult,Birds,,Monitored Animal,3,false,true,,0.75,false,false,
09/15/2020 02:30:00 PM,09/15/2020 02:30:00 PM,Brooklyn,Prospect Park,Boat House,Canada Goose,"Conservancies/""Friends of"" Groups",Native,Unhealthy,1,Adult,Birds,311-03970316,ACC,1,false,false,,,false,false,
09/15/2020 08:20:00 AM,09/15/2020 08:30:00 AM,Brooklyn,McCarren Park,Lorimer and Driggs,Bird (Unknown),Central,Native,N/A,1,Adult,Birds,,Unfounded,0,false,false,,,false,false,
09/14/2020 01:30:00 PM,09/14/2020 01:34:00 PM,Staten Island,Bloomingdale Park,Soccer field construction site,Herring Gull,Central,Native,Unhealthy,4.5,Juvenile,Birds,311-03958789,Rehabilitator,1,false,false,Wild Bird Fund,,false,false,
09/15/2020 08:45:00 AM,09/15/2020 08:50:00 AM,Staten Island,Owl Hollow Fields,soccer fields,Striped Skunk,Central,Native,Injured,1,Adult,Small Mammals-RVS,,Unfounded,0,false,false,,,false,false,
09/14/2020 11:25:00 AM,09/14/2020 11:30:00 AM,Staten Island,Clove Lakes Park,stone bridge next to Stone House Restaurant  in the park,Great Blue Heron,Central,Native,Healthy,2.25,Juvenile,Birds,,Advised/Educated others,1,false,false,,,false,false,
09/14/2020 12:00:00 AM,09/14/2020 01:30:00 PM,Bronx,Van Cortlandt Park,Parade Ground adjacent to Dog Run,Mute Swan,Public,Invasive,Healthy,0.5,Juvenile,Birds,,Monitored Animal,1,false,true,,0.5,false,false,
09/14/2020 12:30:00 PM,09/14/2020 12:35:00 PM,Queens,Rockaway Beach and Boardwalk,Between Beach 27th and Beach 32nd Streets,Herring Gull,Central,Native,Injured,1,Adult,Birds,,Unfounded,0,true,false,,,false,false,
09/13/2020 05:46:00 PM,09/13/2020 05:47:00 PM,Staten Island,Blue Heron Park,Harold ave and Koch blvd,Dog,Public,Domestic,N/A,0.25,Adult,Domestic,,Unfounded,0,false,false,,,false,false,
09/14/2020 08:40:00 AM,09/14/2020 09:00:00 AM,Queens,Rockaway Beach and Boardwalk,Beach 123rd St,Herring Gull,Employee,Native,Injured,2,Juvenile,Birds,311-03956975,ACC,1,false,false,,,false,false,102819
09/13/2020 11:30:00 AM,09/13/2020 11:30:00 AM,Brooklyn,Prospect Park,Garfield Place and Prospect Park West,Eastern Gray Squirrel,Employee,Native,Healthy,2,Infant,Small Mammals-non RVS,,Relocated/Condition Corrected,1,false,true,,2,false,false,
09/13/2020 09:00:00 AM,09/13/2020 09:40:00 AM,Brooklyn,McCarren Park,Searched entire Park,Bird (Unknown),Central,N/A,N/A,1,Juvenile,Birds,311-03935429,Unfounded,0,false,false,,,false,false,
09/13/2020 10:20:00 AM,09/13/2020 12:50:00 PM,Staten Island,Brookfield Park,employee parking lot,Domestic Rabbit,Employee,Domestic,N/A,2.25,Juvenile,Small Mammals-non RVS,,Unfounded,0,false,false,,,false,false,
09/13/2020 11:10:00 AM,09/13/2020 11:35:00 AM,Staten Island,Eibs Pond Park,Park Hill Ave and Hanover Ave,Domestic Duck,Central,Domestic,Unhealthy,1.5,Infant,Birds,311-03945550,ACC,2,false,false,,,false,false,102779 and 102780
09/12/2020 04:50:00 PM,09/12/2020 04:50:00 PM,Manhattan,Blake Hobbs Playground,near play equipment,Black-and-white Warbler,Observed by Ranger,Native,DOA,0.25,Adult,Birds,,Relocated/Condition Corrected,1,false,false,,,false,false,
09/12/2020 11:00:00 AM,09/12/2020 11:00:00 AM,Manhattan,Central Park,East 102nd Street and East Drive,Red-eared Slider,Public,Invasive,Healthy,0.25,Adult,Terrestrial Reptile or Amphibian,,Relocated/Condition Corrected,1,false,false,,,false,false,
09/12/2020 08:45:00 AM,09/12/2020 09:30:00 AM,Brooklyn,Herbert Von King Park,Laffayette.,Bird (Unknown),Central,Native,Injured,0.75,Adult,Birds,,Unfounded,0,false,false,,,false,false,
09/12/2020 11:00:00 AM,09/12/2020 11:00:00 AM,Staten Island,Clove Lakes Park,stream from Clove Lake,Great Blue Heron,Public,Native,Unhealthy,4.5,Adult,Birds,311-03933509,Rehabilitator,1,false,false,Wild Bird Fund,,false,false,
09/11/2020 08:00:00 PM,09/12/2020 08:30:00 AM,Staten Island,Clove Lakes Park,Near Victory Blvd.,Great Blue Heron,Other,Native,Injured,2,Adult,Birds,,Unfounded,0,false,false,,,false,false,
09/11/2020 04:20:00 PM,09/12/2020 09:00:00 AM,Staten Island,Jones Woods Park,Near hill,Wild Turkey,Public,Native,Injured,1,Adult,Birds,,Unfounded,0,false,false,,,false,false,
09/11/2020 04:20:00 PM,09/11/2020 04:40:00 PM,Staten Island,Jones Woods Park,Lafayette Ave and Brighton Street,Wild Turkey,Public,Native,Injured,1.5,Adult,Birds,,Unfounded,0,false,false,,,false,false,
09/10/2020 04:24:00 PM,09/10/2020 04:45:00 PM,Manhattan,John Jay Park,The Pool near the Playgound at John Jay Park,Red-tailed Hawk,Public,Native,Injured,3,Adult,Raptors,311-03912785,Rehabilitator,1,false,false,Bobby Horvath,,false,false,
09/10/2020 01:45:00 PM,09/10/2020 01:50:00 PM,Queens,Alley Pond Park,Oakland Lake near Cloverdale Blvd and 46 Ave,Domestic Duck,Public,Domestic,Unhealthy,2.5,Juvenile,Birds,311-03910738,ACC,2,false,false,,,false,false,"102609, 102610"
09/10/2020 01:00:00 PM,09/10/2020 02:00:00 PM,Bronx,Bronx Park,2120 Boston Road,Domestic Duck,Central,Domestic,N/A,1,Adult,Domestic;#Birds,,Unfounded,0,false,false,,,false,false,
